"","x"
"1268","M Jodlowski"
"1269","C Haught"
"1270","N Witthoft"
"1271","J Winawer"
"1272","L Wu"
"1273","A Wade"
"1274","M Amoretti"
"1275","B Guimberteau"
"1276","L Webber"
"1277","M Purver"
"1278","J King"
"1279","J Ginzburg"
"1280","G Mills"
"1281","A Stocco"
"1282","J Marsh"
"1283","S Read"
"1284","C Snow"
"1285","D Simon"
"1286","J Hsiao"
"1287","E Munnich"
"1288","M Ramney"
"1289","J Osuna"
"1290","N Brazil"
"1291","J Owensby"
"1292","A Samnonovich"
"1293","K Jong"
"1294","A Utsunomiya"
"1295","R Gomez"
"1296","B Klettke"
"1297","S Katz"
"1298","L Leger"
"1299","D Chene"
"1300","T Baccino"
"1301","C Tijus"
"1302","T Krynski"
"1303","J Blanc"
"1304","C Dodane"
"1305","F Reali"
"1306","B Ashpole"
"1307","J Aronoff"
"1308","L Gonnerman"
"1309","E Andersen"
"1310","D Kempler"
"1311","C Coyne"
"1312","P Hansson"
"1313","S Ainsworth"
"1314","G Peevers"
"1315","C Jolly"
"1316","L Martin"
"1317","D Barner"
"1318","J Hoeks"
"1319","I Prinsen"
"1320","L Stowe"
"1321","M Perry"
"1322","K O'Hara"
"1323","G Spinelli"
"1324","B Sharpe"
"1325","M Alac"
"1326","S Reimers"
"1327","G Deak"
"1328","J Wagner"
"1329","S Day"
"1330","G Goodwin"
"1331","F Calvo"
"1332","W Helton"
"1333","A Chavez"
"1334","E Francozo"
"1335","R Prather"
